#           radius               fx               fz          localcp          localct
        4.000000      -100.375801       285.838340        -0.081256         0.687719
        5.000000       -59.071006       329.548950        -0.047819         0.634308
        6.000000        43.605700       376.190642         0.035299         0.603402
        7.000000       120.554890       432.270436         0.097591         0.594303
        8.000000       188.320106       504.894343         0.152448         0.607380
        9.000000       244.856510       585.902487         0.198215         0.626517
       10.000000       281.941145       663.064242         0.228235         0.638125
       11.000000       307.759276       738.016138         0.249135         0.645689
       12.000000       342.087261       828.253709         0.276924         0.664251
       13.000000       371.709791       919.316542         0.300904         0.680569
       14.000000       402.116028      1017.149041         0.325519         0.699209
       15.000000       438.393717      1122.466374         0.354886         0.720166
       16.000000       471.831668      1232.228072         0.381954         0.741176
       17.000000       497.929728      1349.165255         0.403081         0.763777
       18.000000       520.000820      1472.715897         0.420948         0.787402
       19.000000       538.587149      1598.127309         0.435994         0.809484
       20.000000       549.777837      1730.741195         0.445053         0.832822
       21.000000       563.079994      1850.323955         0.455821         0.847967
       22.000000       583.310432      1962.632877         0.472198         0.858552
       23.000000       605.804061      2070.658229         0.490407         0.866425
       24.000000       628.954819      2175.695983         0.509148         0.872443
       25.000000       651.585156      2283.904068         0.527467         0.879201
       26.000000       672.112801      2399.099753         0.544085         0.888025
       27.000000       690.271069      2522.385143         0.558784         0.899079
       28.000000       704.825143      2653.874497         0.570566         0.912163
       29.000000       715.365998      2794.367587         0.579099         0.927333
       30.000000       721.985360      2941.518174         0.584457         0.943627
       31.000000       725.476847      3078.396853         0.587284         0.955682
       32.000000       727.661319      3193.713180         0.589052         0.960497
       33.000000       729.046261      3289.573239         0.590173         0.959347
       34.000000       729.693903      3368.286984         0.590697         0.953412
       35.000000       728.476752      3436.701033         0.589712         0.944983
       36.000000       726.693175      3500.644496         0.588268         0.935827
       37.000000       726.353151      3565.348503         0.587993         0.927365
       38.000000       724.475305      3641.370189         0.586473         0.922214
       39.000000       722.458202      3721.566399         0.584840         0.918357
       40.000000       719.995109      3805.177975         0.582846         0.915515
       41.000000       717.779948      3890.614169         0.581053         0.913239
       42.000000       715.892685      3977.995986         0.579525         0.911518
       43.000000       714.164984      4067.399625         0.578127         0.910330
       44.000000       712.546912      4158.622367         0.576817         0.909593
       45.000000       711.414177      4251.191479         0.575900         0.909177
       46.000000       710.229062      4346.498266         0.574940         0.909352
       47.000000       709.450837      4443.070379         0.574310         0.909778
       48.000000       708.436393      4540.965428         0.573489         0.910452
       49.000000       707.351820      4639.760364         0.572611         0.911276
       50.000000       706.213778      4739.160578         0.571690         0.912182
       51.000000       704.852524      4839.136485         0.570588         0.913162
       52.000000       703.432879      4939.347857         0.569439         0.914148
       53.000000       702.493823      5040.703259         0.568679         0.915304
       54.000000       701.172453      5142.074104         0.567609         0.916421
       55.000000       699.766960      5242.903471         0.566471         0.917402
       56.000000       698.174050      5342.972556         0.565182         0.918217
       57.000000       696.422761      5442.088120         0.563764         0.918842
       58.000000       694.508413      5539.892756         0.562214         0.919229
       59.000000       692.439543      5636.099555         0.560539         0.919342
       60.000000       690.392885      5730.550103         0.558883         0.919169
       61.000000       687.802674      5822.626941         0.556786         0.918627
       62.000000       685.635444      5912.004444         0.555031         0.917684
       63.000000       683.497001      5999.825656         0.553300         0.916534
       64.000000       680.600074      6083.302548         0.550955         0.914765
       65.000000       677.926719      6164.284913         0.548791         0.912682
       66.000000       675.365864      6242.460248         0.546718         0.910253
       67.000000       672.671633      6316.798692         0.544537         0.907345
       68.000000       669.851345      6387.561773         0.542254         0.904017
       69.000000       666.963028      6454.318050         0.539916         0.900226
       70.000000       663.837854      6516.551832         0.537386         0.895922
       71.000000       660.511151      6574.050626         0.534693         0.891097
       72.000000       656.880965      6626.519077         0.531754         0.885734
       73.000000       652.835747      6673.652266         0.528480         0.879814
       74.000000       648.356404      6715.680425         0.524854         0.873391
       75.000000       643.194856      6751.714342         0.520675         0.866369
       76.000000       636.984727      6779.353332         0.515648         0.858470
       77.000000       629.496707      6798.781585         0.509586         0.849749
       78.000000       620.228691      6807.411211         0.502084         0.839919
       79.000000       608.860056      6801.821361         0.492881         0.828607
       80.000000       594.742006      6777.880750         0.481452         0.815369
       81.000000       577.826213      6727.728333         0.467758         0.799344
       82.000000       557.271053      6643.104699         0.451119         0.779664
       83.000000       532.212307      6511.298415         0.430833         0.754988
       84.000000       500.986399      6316.256096         0.405555         0.723654
       84.250000       491.799965      6254.721497         0.398119         0.714477
       84.500000       482.111472      6188.327570         0.390276         0.704802
       84.750000       471.582153      6115.015446         0.381752         0.694397
       85.000000       460.357086      6034.290365         0.372665         0.683215
       85.250000       448.624485      5947.754726         0.363168         0.671443
       85.500000       435.327245      5847.884602         0.352403         0.658238
       85.750000       421.682984      5742.373393         0.341358         0.644477
       86.000000       407.280101      5622.275095         0.329699         0.629164
       86.250000       392.042924      5490.978988         0.317364         0.612690
       86.500000       375.827571      5348.304305         0.304238         0.595046
       86.750000       357.547580      5178.893738         0.289440         0.574537
       87.000000       337.851362      4997.917326         0.273495         0.552866
       87.250000       315.137971      4802.209017         0.255109         0.529695
       87.500000       293.091507      4549.698012         0.237262         0.500409
       87.750000       269.171917      4266.239834         0.217898         0.467895
       88.000000       236.433887      3962.818422         0.191397         0.433383
       88.250000       198.389673      3587.032587         0.160599         0.391175
       88.500000       147.369944      3147.730456         0.119298         0.342298
       88.750000        66.192125      2565.811239         0.053583         0.278232
       89.000000        70.362476      1614.428188         0.056959         0.174574
